Class,precision,recall,f1-score,support
No DR,0.8663366336633663,0.9668508287292817,0.9138381201044387,181.0
Mild,0.4482758620689655,0.35135135135135137,0.3939393939393939,37.0
Moderate,0.7580645161290323,0.47,0.5802469135802469,100.0
Severe,0.2222222222222222,0.42105263157894735,0.2909090909090909,19.0
Proliferative DR,0.15789473684210525,0.2,0.17647058823529413,30.0
accuracy,0.6784741144414169,0.6784741144414169,0.6784741144414169,0.6784741144414169
macro avg,0.4905587941851383,0.48185096233191616,0.4710808213536929,367.0
weighted avg,0.7034295736512525,0.6784741144414169,0.6780014687929624,367.0
