Class,precision,recall,f1-score,support
No DR,0.9404761904761905,0.8729281767955801,0.9054441260744985,181.0
Mild,0.24603174603174602,0.8378378378378378,0.3803680981595092,37.0
Moderate,0.725,0.29,0.4142857142857143,100.0
Severe,0.35294117647058826,0.3157894736842105,0.3333333333333333,19.0
Proliferative DR,0.375,0.2,0.2608695652173913,30.0
accuracy,0.6267029972752044,0.6267029972752044,0.6267029972752044,0.6267029972752044
macro avg,0.5278898225957049,0.5033110976635258,0.4588601674140893,367.0
weighted avg,0.7351096660280825,0.6267029972752044,0.6363678424245576,367.0
