Class,precision,recall,f1-score,support
No DR,0.8958333333333334,0.9502762430939227,0.9222520107238605,181.0
Mild,0.46153846153846156,0.4864864864864865,0.47368421052631576,37.0
Moderate,0.6857142857142857,0.24,0.35555555555555557,100.0
Severe,0.16363636363636364,0.47368421052631576,0.24324324324324326,19.0
Proliferative DR,0.13043478260869565,0.2,0.15789473684210525,30.0
accuracy,0.6239782016348774,0.6239782016348774,0.6239782016348774,0.6239782016348774
macro avg,0.467431445366228,0.47008938802134503,0.43052595137821603,367.0
weighted avg,0.6943223961009175,0.6239782016348774,0.6249807875011792,367.0
